Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Régimen y estado;Periodo;Total
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2009;1.114
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2008;804
Total Nacional;05 Canarias;35 Palmas, Las;Vivienda protegida;2007;713
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2025;12.471
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2024;11.379
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2023;11.288
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2022;13.593
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2021;9.887
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2020;8.302
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2019;10.229
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2018;11.758
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2017;11.313
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2016;9.447
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2015;8.116
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2014;8.215
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2013;7.242
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2012;6.876
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2011;7.302
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2010;8.278
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2009;8.152
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2008;11.885
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Viviendas: Total;2007;18.962
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2025;3.701
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2024;3.300
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2023;2.403
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2022;2.366
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2021;2.059
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2020;1.567
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2019;2.104
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2018;2.735
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2017;2.255
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2016;1.940
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2015;2.006
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2014;3.531
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2013;3.779
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2012;3.832
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2011;4.105
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2010;4.938
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2009;5.038
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2008;7.119
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda nueva;2007;9.397
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2025;8.770
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2024;8.079
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2023;8.885
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2022;11.227
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2021;7.828
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2020;6.735
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2019;8.125
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2018;9.023
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2017;9.058
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2016;7.507
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2015;6.110
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2014;4.684
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2013;3.463
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2012;3.044
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2011;3.197
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2010;3.340
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2009;3.114
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2008;4.766
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda usada;2007;9.565
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2025;12.107
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2024;10.974
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2023;10.792
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2022;12.991
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2021;9.340
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2020;7.956
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2019;9.378
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2018;11.225
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2017;10.839
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2016;9.091
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2015;7.852
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2014;7.948
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2013;6.915
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2012;6.365
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2011;6.622
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2010;7.489
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2009;7.539
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2008;11.019
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda libre;2007;17.401
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2025;364
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2024;405
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2023;496
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2022;602
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2021;547
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2020;346
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2019;851
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2018;533
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2017;474
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2016;356
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2015;264
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2014;267
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2013;327
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2012;511
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2011;680
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2010;789
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2009;613
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2008;866
Total Nacional;05 Canarias;38 Santa Cruz de Tenerife;Vivienda protegida;2007;1.561
Total Nacional;06 Cantabria;;Viviendas: Total;2025;10.448
Total Nacional;06 Cantabria;;Viviendas: Total;2024;9.141
Total Nacional;06 Cantabria;;Viviendas: Total;2023;7.867
Total Nacional;06 Cantabria;;Viviendas: Total;2022;8.768
Total Nacional;06 Cantabria;;Viviendas: Total;2021;7.695
Total Nacional;06 Cantabria;;Viviendas: Total;2020;5.593
Total Nacional;06 Cantabria;;Viviendas: Total;2019;6.337
Total Nacional;06 Cantabria;;Viviendas: Total;2018;6.475
Total Nacional;06 Cantabria;;Viviendas: Total;2017;5.540
Total Nacional;06 Cantabria;;Viviendas: Total;2016;4.741
Total Nacional;06 Cantabria;;Viviendas: Total;2015;4.304
Total Nacional;06 Cantabria;;Viviendas: Total;2014;3.994
Total Nacional;06 Cantabria;;Viviendas: Total;2013;3.867
Total Nacional;06 Cantabria;;Viviendas: Total;2012;4.550
Total Nacional;06 Cantabria;;Viviendas: Total;2011;6.442
Total Nacional;06 Cantabria;;Viviendas: Total;2010;8.124
Total Nacional;06 Cantabria;;Viviendas: Total;2009;7.955
Total Nacional;06 Cantabria;;Viviendas: Total;2008;9.066
Total Nacional;06 Cantabria;;Viviendas: Total;2007;11.781
Total Nacional;06 Cantabria;;Vivienda nueva;2025;1.959
Total Nacional;06 Cantabria;;Vivienda nueva;2024;1.430
Total Nacional;06 Cantabria;;Vivienda nueva;2023;1.158
Total Nacional;06 Cantabria;;Vivienda nueva;2022;1.207
Total Nacional;06 Cantabria;;Vivienda nueva;2021;1.216
Total Nacional;06 Cantabria;;Vivienda nueva;2020;1.038
Total Nacional;06 Cantabria;;Vivienda nueva;2019;979
Total Nacional;06 Cantabria;;Vivienda nueva;2018;1.155
Total Nacional;06 Cantabria;;Vivienda nueva;2017;1.052
Total Nacional;06 Cantabria;;Vivienda nueva;2016;950
Total Nacional;06 Cantabria;;Vivienda nueva;2015;920
Total Nacional;06 Cantabria;;Vivienda nueva;2014;1.594
Total Nacional;06 Cantabria;;Vivienda nueva;2013;1.905
Total Nacional;06 Cantabria;;Vivienda nueva;2012;2.553
Total Nacional;06 Cantabria;;Vivienda nueva;2011;3.762
Total Nacional;06 Cantabria;;Vivienda nueva;2010;4.585
Total Nacional;06 Cantabria;;Vivienda nueva;2009;4.746
Total Nacional;06 Cantabria;;Vivienda nueva;2008;5.034
Total Nacional;06 Cantabria;;Vivienda nueva;2007;5.512
Total Nacional;06 Cantabria;;Vivienda usada;2025;8.489
Total Nacional;06 Cantabria;;Vivienda usada;2024;7.711
Total Nacional;06 Cantabria;;Vivienda usada;2023;6.709
Total Nacional;06 Cantabria;;Vivienda usada;2022;7.561
Total Nacional;06 Cantabria;;Vivienda usada;2021;6.479
Total Nacional;06 Cantabria;;Vivienda usada;2020;4.555
Total Nacional;06 Cantabria;;Vivienda usada;2019;5.358
Total Nacional;06 Cantabria;;Vivienda usada;2018;5.320
Total Nacional;06 Cantabria;;Vivienda usada;2017;4.488
Total Nacional;06 Cantabria;;Vivienda usada;2016;3.791
Total Nacional;06 Cantabria;;Vivienda usada;2015;3.384
Total Nacional;06 Cantabria;;Vivienda usada;2014;2.400
Total Nacional;06 Cantabria;;Vivienda usada;2013;1.962
Total Nacional;06 Cantabria;;Vivienda usada;2012;1.997
Total Nacional;06 Cantabria;;Vivienda usada;2011;2.680
Total Nacional;06 Cantabria;;Vivienda usada;2010;3.539
Total Nacional;06 Cantabria;;Vivienda usada;2009;3.209
Total Nacional;06 Cantabria;;Vivienda usada;2008;4.032
Total Nacional;06 Cantabria;;Vivienda usada;2007;6.269
Total Nacional;06 Cantabria;;Vivienda libre;2025;9.871
Total Nacional;06 Cantabria;;Vivienda libre;2024;8.529
Total Nacional;06 Cantabria;;Vivienda libre;2023;7.103
Total Nacional;06 Cantabria;;Vivienda libre;2022;7.920
Total Nacional;06 Cantabria;;Vivienda libre;2021;6.985
Total Nacional;06 Cantabria;;Vivienda libre;2020;5.134
Total Nacional;06 Cantabria;;Vivienda libre;2019;5.671
Total Nacional;06 Cantabria;;Vivienda libre;2018;5.838
Total Nacional;06 Cantabria;;Vivienda libre;2017;5.048
Total Nacional;06 Cantabria;;Vivienda libre;2016;4.164
Total Nacional;06 Cantabria;;Vivienda libre;2015;3.822
Total Nacional;06 Cantabria;;Vivienda libre;2014;3.594
Total Nacional;06 Cantabria;;Vivienda libre;2013;3.419
Total Nacional;06 Cantabria;;Vivienda libre;2012;3.850
Total Nacional;06 Cantabria;;Vivienda libre;2011;5.116
Total Nacional;06 Cantabria;;Vivienda libre;2010;6.828
Total Nacional;06 Cantabria;;Vivienda libre;2009;6.604
Total Nacional;06 Cantabria;;Vivienda libre;2008;8.197
Total Nacional;06 Cantabria;;Vivienda libre;2007;10.585
Total Nacional;06 Cantabria;;Vivienda protegida;2025;577
Total Nacional;06 Cantabria;;Vivienda protegida;2024;612
Total Nacional;06 Cantabria;;Vivienda protegida;2023;764
Total Nacional;06 Cantabria;;Vivienda protegida;2022;848
Total Nacional;06 Cantabria;;Vivienda protegida;2021;710
Total Nacional;06 Cantabria;;Vivienda protegida;2020;459
Total Nacional;06 Cantabria;;Vivienda protegida;2019;666
Total Nacional;06 Cantabria;;Vivienda protegida;2018;637
Total Nacional;06 Cantabria;;Vivienda protegida;2017;492
Total Nacional;06 Cantabria;;Vivienda protegida;2016;577
Total Nacional;06 Cantabria;;Vivienda protegida;2015;482
Total Nacional;06 Cantabria;;Vivienda protegida;2014;400
Total Nacional;06 Cantabria;;Vivienda protegida;2013;448
Total Nacional;06 Cantabria;;Vivienda protegida;2012;700
Total Nacional;06 Cantabria;;Vivienda protegida;2011;1.326
Total Nacional;06 Cantabria;;Vivienda protegida;2010;1.296
Total Nacional;06 Cantabria;;Vivienda protegida;2009;1.351
Total Nacional;06 Cantabria;;Vivienda protegida;2008;869
Total Nacional;06 Cantabria;;Vivienda protegida;2007;1.196
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2025;10.448
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2024;9.141
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2023;7.867
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2022;8.768
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2021;7.695
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2020;5.593
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2019;6.337
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2018;6.475
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2017;5.540
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2016;4.741
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2015;4.304
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2014;3.994
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2013;3.867
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2012;4.550
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2011;6.442
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2010;8.124
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2009;7.955
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2008;9.066
Total Nacional;06 Cantabria;39 Cantabria;Viviendas: Total;2007;11.781
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2025;1.959
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2024;1.430
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2023;1.158
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2022;1.207
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2021;1.216
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2020;1.038
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2019;979
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2018;1.155
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2017;1.052
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2016;950
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2015;920
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2014;1.594
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2013;1.905
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2012;2.553
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2011;3.762
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2010;4.585
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2009;4.746
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2008;5.034
Total Nacional;06 Cantabria;39 Cantabria;Vivienda nueva;2007;5.512
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2025;8.489
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2024;7.711
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2023;6.709
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2022;7.561
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2021;6.479
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2020;4.555
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2019;5.358
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2018;5.320
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2017;4.488
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2016;3.791
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2015;3.384
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2014;2.400
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2013;1.962
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2012;1.997
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2011;2.680
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2010;3.539
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2009;3.209
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2008;4.032
Total Nacional;06 Cantabria;39 Cantabria;Vivienda usada;2007;6.269
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2025;9.871
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2024;8.529
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2023;7.103
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2022;7.920
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2021;6.985
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2020;5.134
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2019;5.671
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2018;5.838
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2017;5.048
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2016;4.164
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2015;3.822
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2014;3.594
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2013;3.419
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2012;3.850
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2011;5.116
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2010;6.828
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2009;6.604
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2008;8.197
Total Nacional;06 Cantabria;39 Cantabria;Vivienda libre;2007;10.585
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2025;577
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2024;612
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2023;764
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2022;848
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2021;710
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2020;459
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2019;666
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2018;637
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2017;492
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2016;577
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2015;482
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2014;400
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2013;448
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2012;700
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2011;1.326
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2010;1.296
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2009;1.351
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2008;869
Total Nacional;06 Cantabria;39 Cantabria;Vivienda protegida;2007;1.196
Total Nacional;07 Castilla y León;;Viviendas: Total;2025;36.471
Total Nacional;07 Castilla y León;;Viviendas: Total;2024;30.670
Total Nacional;07 Castilla y León;;Viviendas: Total;2023;26.948
Total Nacional;07 Castilla y León;;Viviendas: Total;2022;27.988
Total Nacional;07 Castilla y León;;Viviendas: Total;2021;25.039
Total Nacional;07 Castilla y León;;Viviendas: Total;2020;18.437
Total Nacional;07 Castilla y León;;Viviendas: Total;2019;20.715
Total Nacional;07 Castilla y León;;Viviendas: Total;2018;20.520
Total Nacional;07 Castilla y León;;Viviendas: Total;2017;18.580
Total Nacional;07 Castilla y León;;Viviendas: Total;2016;16.712
Total Nacional;07 Castilla y León;;Viviendas: Total;2015;15.226
Total Nacional;07 Castilla y León;;Viviendas: Total;2014;14.322
Total Nacional;07 Castilla y León;;Viviendas: Total;2013;14.713
Total Nacional;07 Castilla y León;;Viviendas: Total;2012;16.017
Total Nacional;07 Castilla y León;;Viviendas: Total;2011;19.557
Total Nacional;07 Castilla y León;;Viviendas: Total;2010;24.990
Total Nacional;07 Castilla y León;;Viviendas: Total;2009;22.740
Total Nacional;07 Castilla y León;;Viviendas: Total;2008;30.469
Total Nacional;07 Castilla y León;;Viviendas: Total;2007;40.464
Total Nacional;07 Castilla y León;;Vivienda nueva;2025;6.451
Total Nacional;07 Castilla y León;;Vivienda nueva;2024;5.917
Total Nacional;07 Castilla y León;;Vivienda nueva;2023;5.291
Total Nacional;07 Castilla y León;;Vivienda nueva;2022;5.431
Total Nacional;07 Castilla y León;;Vivienda nueva;2021;4.927
Total Nacional;07 Castilla y León;;Vivienda nueva;2020;3.261
Total Nacional;07 Castilla y León;;Vivienda nueva;2019;3.608
Total Nacional;07 Castilla y León;;Vivienda nueva;2018;3.793
Total Nacional;07 Castilla y León;;Vivienda nueva;2017;3.782
Total Nacional;07 Castilla y León;;Vivienda nueva;2016;3.364
Total Nacional;07 Castilla y León;;Vivienda nueva;2015;3.485
Total Nacional;07 Castilla y León;;Vivienda nueva;2014;5.351
Total Nacional;07 Castilla y León;;Vivienda nueva;2013;6.651
Total Nacional;07 Castilla y León;;Vivienda nueva;2012;7.472
Total Nacional;07 Castilla y León;;Vivienda nueva;2011;9.517
Total Nacional;07 Castilla y León;;Vivienda nueva;2010;12.232
Total Nacional;07 Castilla y León;;Vivienda nueva;2009;11.343
Total Nacional;07 Castilla y León;;Vivienda nueva;2008;14.011
Total Nacional;07 Castilla y León;;Vivienda nueva;2007;14.305
Total Nacional;07 Castilla y León;;Vivienda usada;2025;30.020
Total Nacional;07 Castilla y León;;Vivienda usada;2024;24.753
Total Nacional;07 Castilla y León;;Vivienda usada;2023;21.657
Total Nacional;07 Castilla y León;;Vivienda usada;2022;22.557
Total Nacional;07 Castilla y León;;Vivienda usada;2021;20.112
Total Nacional;07 Castilla y León;;Vivienda usada;2020;15.176
Total Nacional;07 Castilla y León;;Vivienda usada;2019;17.107
Total Nacional;07 Castilla y León;;Vivienda usada;2018;16.727
Total Nacional;07 Castilla y León;;Vivienda usada;2017;14.798
Total Nacional;07 Castilla y León;;Vivienda usada;2016;13.348
Total Nacional;07 Castilla y León;;Vivienda usada;2015;11.741
Total Nacional;07 Castilla y León;;Vivienda usada;2014;8.971
Total Nacional;07 Castilla y León;;Vivienda usada;2013;8.062
Total Nacional;07 Castilla y León;;Vivienda usada;2012;8.545
Total Nacional;07 Castilla y León;;Vivienda usada;2011;10.040
Total Nacional;07 Castilla y León;;Vivienda usada;2010;12.758
Total Nacional;07 Castilla y León;;Vivienda usada;2009;11.397
Total Nacional;07 Castilla y León;;Vivienda usada;2008;16.458
Total Nacional;07 Castilla y León;;Vivienda usada;2007;26.159
Total Nacional;07 Castilla y León;;Vivienda libre;2025;33.193
Total Nacional;07 Castilla y León;;Vivienda libre;2024;28.034
Total Nacional;07 Castilla y León;;Vivienda libre;2023;24.369
Total Nacional;07 Castilla y León;;Vivienda libre;2022;25.480
Total Nacional;07 Castilla y León;;Vivienda libre;2021;22.632
Total Nacional;07 Castilla y León;;Vivienda libre;2020;16.477
Total Nacional;07 Castilla y León;;Vivienda libre;2019;18.295
Total Nacional;07 Castilla y León;;Vivienda libre;2018;17.817
Total Nacional;07 Castilla y León;;Vivienda libre;2017;16.027
Total Nacional;07 Castilla y León;;Vivienda libre;2016;14.218
Total Nacional;07 Castilla y León;;Vivienda libre;2015;13.091
Total Nacional;07 Castilla y León;;Vivienda libre;2014;12.195
Total Nacional;07 Castilla y León;;Vivienda libre;2013;12.641
Total Nacional;07 Castilla y León;;Vivienda libre;2012;13.503
Total Nacional;07 Castilla y León;;Vivienda libre;2011;16.273
Total Nacional;07 Castilla y León;;Vivienda libre;2010;21.408
Total Nacional;07 Castilla y León;;Vivienda libre;2009;20.164
Total Nacional;07 Castilla y León;;Vivienda libre;2008;27.825
Total Nacional;07 Castilla y León;;Vivienda libre;2007;36.789
Total Nacional;07 Castilla y León;;Vivienda protegida;2025;3.278
Total Nacional;07 Castilla y León;;Vivienda protegida;2024;2.636
Total Nacional;07 Castilla y León;;Vivienda protegida;2023;2.579
Total Nacional;07 Castilla y León;;Vivienda protegida;2022;2.508
Total Nacional;07 Castilla y León;;Vivienda protegida;2021;2.407
Total Nacional;07 Castilla y León;;Vivienda protegida;2020;1.960
Total Nacional;07 Castilla y León;;Vivienda protegida;2019;2.420
Total Nacional;07 Castilla y León;;Vivienda protegida;2018;2.703
Total Nacional;07 Castilla y León;;Vivienda protegida;2017;2.553
Total Nacional;07 Castilla y León;;Vivienda protegida;2016;2.494
Total Nacional;07 Castilla y León;;Vivienda protegida;2015;2.135
Total Nacional;07 Castilla y León;;Vivienda protegida;2014;2.127
Total Nacional;07 Castilla y León;;Vivienda protegida;2013;2.072
Total Nacional;07 Castilla y León;;Vivienda protegida;2012;2.514
